,id,t,treated,fte,bk,kfc,roys,wendys
0,1,0,NJ,31.0,1,0,0,0
1,1,1,NJ,40.0,1,0,0,0
2,2,0,NJ,13.0,1,0,0,0
3,2,1,NJ,12.5,1,0,0,0
4,3,0,NJ,12.5,0,1,0,0
5,3,1,NJ,7.5,0,1,0,0
6,4,0,NJ,16.0,0,0,1,0
7,4,1,NJ,20.0,0,0,1,0
8,5,0,NJ,20.0,0,0,1,0
9,5,1,NJ,25.0,0,0,1,0
10,6,0,NJ,3.0,0,0,1,0
11,6,1,NJ,6.0,0,0,1,0
12,8,0,NJ,,0,0,0,1
13,8,1,NJ,27.5,0,0,0,1
14,9,0,NJ,32.0,1,0,0,0
15,9,1,NJ,16.0,1,0,0,0
16,10,0,NJ,25.0,1,0,0,0
17,10,1,NJ,22.5,1,0,0,0
18,11,0,NJ,25.0,1,0,0,0
19,11,1,NJ,24.0,1,0,0,0
20,12,0,NJ,18.25,1,0,0,0
21,12,1,NJ,22.5,1,0,0,0
22,13,0,NJ,12.5,0,1,0,0
23,13,1,NJ,7.5,0,1,0,0
24,14,0,NJ,14.0,0,1,0,0
25,14,1,NJ,12.5,0,1,0,0
26,15,0,NJ,15.5,0,0,1,0
27,15,1,NJ,15.0,0,0,1,0
28,16,0,NJ,17.0,0,0,1,0
29,16,1,NJ,15.5,0,0,1,0
30,17,0,NJ,10.0,0,0,1,0
31,17,1,NJ,21.5,0,0,1,0
32,18,0,NJ,27.5,0,0,1,0
33,18,1,NJ,27.0,0,0,1,0
34,19,0,NJ,19.5,1,0,0,0
35,19,1,NJ,28.0,1,0,0,0
36,21,0,NJ,11.0,0,1,0,0
37,21,1,NJ,5.5,0,1,0,0
38,22,0,NJ,10.5,0,0,1,0
39,22,1,NJ,10.5,0,0,1,0
40,23,0,NJ,12.5,1,0,0,0
41,23,1,NJ,21.0,1,0,0,0
42,24,0,NJ,22.5,1,0,0,0
43,24,1,NJ,25.0,1,0,0,0
44,26,0,NJ,37.5,1,0,0,0
45,26,1,NJ,20.0,1,0,0,0
46,27,0,NJ,9.0,0,1,0,0
47,27,1,NJ,3.5,0,1,0,0
48,28,0,NJ,7.0,0,1,0,0
49,28,1,NJ,7.0,0,1,0,0
50,29,0,NJ,3.5,0,1,0,0
51,29,1,NJ,6.5,0,1,0,0
52,30,0,NJ,8.0,0,1,0,0
53,30,1,NJ,5.5,0,1,0,0
54,31,0,NJ,12.0,0,1,0,0
55,31,1,NJ,13.5,0,1,0,0
56,32,0,NJ,20.25,0,0,1,0
57,32,1,NJ,14.5,0,0,1,0
58,33,0,NJ,22.0,0,0,1,0
59,33,1,NJ,11.5,0,0,1,0
60,34,0,NJ,12.5,0,0,1,0
61,34,1,NJ,14.5,0,0,1,0
62,35,0,NJ,28.25,0,0,0,1
63,35,1,NJ,22.0,0,0,0,1
64,36,0,NJ,14.0,0,0,0,1
65,36,1,NJ,27.5,0,0,0,1
66,37,0,PA,25.5,1,0,0,0
67,37,1,PA,18.5,1,0,0,0
68,38,0,NJ,25.0,1,0,0,0
69,38,1,NJ,20.0,1,0,0,0
70,39,0,PA,17.0,1,0,0,0
71,39,1,PA,12.5,1,0,0,0
72,40,0,PA,20.0,1,0,0,0
73,40,1,PA,19.5,1,0,0,0
74,41,0,PA,13.5,1,0,0,0
75,41,1,PA,21.0,1,0,0,0
76,42,0,PA,19.0,1,0,0,0
77,42,1,PA,11.0,1,0,0,0
78,45,0,PA,12.0,1,0,0,0
79,45,1,PA,17.0,1,0,0,0
80,46,0,PA,37.5,1,0,0,0
81,46,1,PA,21.0,1,0,0,0
82,47,0,PA,32.5,1,0,0,0
83,47,1,PA,22.5,1,0,0,0
84,48,0,PA,16.0,1,0,0,0
85,48,1,PA,20.0,1,0,0,0
86,49,0,PA,9.75,0,1,0,0
87,49,1,PA,7.5,0,1,0,0
88,50,0,PA,11.0,0,1,0,0
89,50,1,PA,14.0,0,1,0,0
90,51,0,PA,7.5,0,1,0,0
91,51,1,PA,13.5,0,1,0,0
92,56,0,PA,30.0,0,0,0,1
93,56,1,PA,18.0,0,0,0,1
94,57,0,PA,35.0,0,0,0,1
95,57,1,PA,16.0,0,0,0,1
96,58,0,PA,20.5,0,0,0,1
97,58,1,PA,14.0,0,0,0,1
98,59,0,PA,7.5,0,0,0,1
99,59,1,PA,8.0,0,0,0,1
100,60,0,PA,20.0,0,0,0,1
101,60,1,PA,20.0,0,0,0,1
102,61,0,PA,19.0,0,0,0,1
103,61,1,PA,29.5,0,0,0,1
104,62,0,PA,15.5,0,0,0,1
105,62,1,PA,,0,0,0,1
106,63,0,NJ,29.0,1,0,0,0
107,63,1,NJ,20.0,1,0,0,0
108,64,0,NJ,27.5,1,0,0,0
109,64,1,NJ,19.5,1,0,0,0
110,65,0,NJ,10.0,1,0,0,0
111,65,1,NJ,,1,0,0,0
112,66,0,NJ,24.0,1,0,0,0
113,66,1,NJ,31.0,1,0,0,0
114,67,0,NJ,12.5,1,0,0,0
115,67,1,NJ,12.75,1,0,0,0
116,68,0,NJ,35.0,1,0,0,0
117,68,1,NJ,21.5,1,0,0,0
118,69,0,NJ,13.5,1,0,0,0
119,69,1,NJ,13.5,1,0,0,0
120,70,0,NJ,45.0,1,0,0,0
121,70,1,NJ,25.0,1,0,0,0
122,71,0,NJ,17.5,1,0,0,0
123,71,1,NJ,36.0,1,0,0,0
124,73,0,NJ,3.5,0,1,0,0
125,73,1,NJ,14.0,0,1,0,0
126,75,0,NJ,10.5,0,1,0,0
127,75,1,NJ,9.5,0,1,0,0
128,76,0,NJ,24.0,0,0,1,0
129,76,1,NJ,32.5,0,0,1,0
130,77,0,NJ,31.0,0,0,1,0
131,77,1,NJ,34.0,0,0,1,0
132,78,0,NJ,18.0,0,0,1,0
133,78,1,NJ,16.0,0,0,1,0
134,79,0,NJ,18.5,0,0,1,0
135,79,1,NJ,17.0,0,0,1,0
136,80,0,NJ,14.5,0,0,0,1
137,80,1,NJ,18.0,0,0,0,1
138,81,0,NJ,31.5,0,0,0,1
139,81,1,NJ,22.5,0,0,0,1
140,82,0,NJ,15.25,0,0,0,1
141,82,1,NJ,29.0,0,0,0,1
142,83,0,NJ,22.5,0,0,0,1
143,83,1,NJ,,0,0,0,1
144,84,0,NJ,19.0,1,0,0,0
145,84,1,NJ,27.0,1,0,0,0
146,85,0,NJ,17.0,1,0,0,0
147,85,1,NJ,17.5,1,0,0,0
148,86,0,NJ,16.5,1,0,0,0
149,86,1,NJ,15.0,1,0,0,0
150,87,0,NJ,7.5,1,0,0,0
151,87,1,NJ,15.0,1,0,0,0
152,88,0,NJ,20.5,1,0,0,0
153,88,1,NJ,22.5,1,0,0,0
154,89,0,NJ,13.0,1,0,0,0
155,89,1,NJ,18.5,1,0,0,0
156,91,0,NJ,19.0,1,0,0,0
157,91,1,NJ,15.0,1,0,0,0
158,92,0,NJ,13.0,1,0,0,0
159,92,1,NJ,17.0,1,0,0,0
160,93,0,NJ,17.5,1,0,0,0
161,93,1,NJ,17.5,1,0,0,0
162,94,0,NJ,12.5,0,1,0,0
163,94,1,NJ,12.0,0,1,0,0
164,95,0,NJ,19.5,0,1,0,0
165,95,1,NJ,7.0,0,1,0,0
166,96,0,NJ,7.5,0,1,0,0
167,96,1,NJ,7.5,0,1,0,0
168,97,0,NJ,6.0,0,1,0,0
169,97,1,NJ,8.0,0,1,0,0
170,98,0,NJ,10.0,0,1,0,0
171,98,1,NJ,9.5,0,1,0,0
172,99,0,NJ,80.0,0,0,1,0
173,99,1,NJ,55.0,0,0,1,0
174,101,0,NJ,12.0,0,0,1,0
175,101,1,NJ,16.0,0,0,1,0
176,102,0,NJ,18.5,0,0,1,0
177,102,1,NJ,13.5,0,0,1,0
178,103,0,NJ,17.5,0,0,0,1
179,103,1,NJ,,0,0,0,1
180,104,0,NJ,50.0,0,0,0,1
181,104,1,NJ,16.0,0,0,0,1
182,105,0,NJ,20.0,1,0,0,0
183,105,1,NJ,22.5,1,0,0,0
184,106,0,NJ,17.5,1,0,0,0
185,106,1,NJ,14.5,1,0,0,0
186,107,0,NJ,11.5,1,0,0,0
187,107,1,NJ,18.5,1,0,0,0
188,108,0,NJ,21.0,1,0,0,0
189,108,1,NJ,23.0,1,0,0,0
190,111,0,NJ,24.0,0,0,1,0
191,111,1,NJ,27.25,0,0,1,0
192,112,0,NJ,17.0,0,0,0,1
193,112,1,NJ,17.5,0,0,0,1
194,113,0,NJ,11.0,1,0,0,0
195,113,1,NJ,22.0,1,0,0,0
196,114,0,NJ,17.5,1,0,0,0
197,114,1,NJ,40.0,1,0,0,0
198,115,0,NJ,32.5,1,0,0,0
199,115,1,NJ,13.5,1,0,0,0
200,116,0,NJ,15.25,1,0,0,0
201,116,1,NJ,28.0,1,0,0,0
202,118,0,NJ,17.5,1,0,0,0
203,118,1,NJ,28.0,1,0,0,0
204,119,0,NJ,21.5,1,0,0,0
205,119,1,NJ,24.5,1,0,0,0
206,120,0,NJ,16.0,1,0,0,0
207,120,1,NJ,15.0,1,0,0,0
208,122,0,NJ,20.0,1,0,0,0
209,122,1,NJ,35.0,1,0,0,0
210,123,0,NJ,10.0,1,0,0,0
211,123,1,NJ,17.5,1,0,0,0
212,124,0,NJ,13.0,1,0,0,0
213,124,1,NJ,24.0,1,0,0,0
214,125,0,NJ,15.0,0,1,0,0
215,125,1,NJ,7.5,0,1,0,0
216,128,0,NJ,10.25,0,1,0,0
217,128,1,NJ,11.0,0,1,0,0
218,129,0,NJ,30.0,0,0,1,0
219,129,1,NJ,16.0,0,0,1,0
220,130,0,NJ,19.75,0,0,1,0
221,130,1,NJ,21.0,0,0,1,0
222,131,0,NJ,27.5,0,0,1,0
223,131,1,NJ,19.0,0,0,1,0
224,132,0,NJ,30.0,0,0,1,0
225,132,1,NJ,25.0,0,0,1,0
226,133,0,NJ,14.0,0,0,1,0
227,133,1,NJ,13.0,0,0,1,0
228,134,0,NJ,18.0,0,0,1,0
229,134,1,NJ,19.75,0,0,1,0
230,135,0,NJ,20.0,0,0,1,0
231,135,1,NJ,20.0,0,0,1,0
232,136,0,NJ,21.75,0,0,1,0
233,136,1,NJ,,0,0,1,0
234,137,0,NJ,27.5,0,0,1,0
235,137,1,NJ,27.0,0,0,1,0
236,138,0,NJ,17.25,0,0,1,0
237,138,1,NJ,18.5,0,0,1,0
238,139,0,NJ,,0,0,0,1
239,139,1,NJ,23.5,0,0,0,1
240,140,0,NJ,20.0,0,0,0,1
241,140,1,NJ,22.5,0,0,0,1
242,141,0,NJ,17.5,0,0,0,1
243,141,1,NJ,22.5,0,0,0,1
244,142,0,NJ,32.5,0,0,0,1
245,142,1,NJ,55.5,0,0,0,1
246,143,0,NJ,15.0,0,0,0,1
247,143,1,NJ,,0,0,0,1
248,144,0,NJ,25.0,0,0,0,1
249,144,1,NJ,22.5,0,0,0,1
250,145,0,NJ,13.5,1,0,0,0
251,145,1,NJ,14.0,1,0,0,0
252,146,0,NJ,18.0,1,0,0,0
253,146,1,NJ,16.0,1,0,0,0
254,147,0,NJ,11.75,1,0,0,0
255,147,1,NJ,6.0,1,0,0,0
256,148,0,NJ,19.5,1,0,0,0
257,148,1,NJ,22.5,1,0,0,0
258,149,0,NJ,10.0,1,0,0,0
259,149,1,NJ,13.0,1,0,0,0
260,150,0,NJ,13.75,1,0,0,0
261,150,1,NJ,22.0,1,0,0,0
262,151,0,NJ,7.0,1,0,0,0
263,151,1,NJ,0.0,1,0,0,0
264,152,0,NJ,42.5,1,0,0,0
265,152,1,NJ,18.75,1,0,0,0
266,153,0,NJ,12.5,1,0,0,0
267,153,1,NJ,31.5,1,0,0,0
268,156,0,NJ,15.5,1,0,0,0
269,156,1,NJ,11.0,1,0,0,0
270,157,0,NJ,12.5,0,1,0,0
271,157,1,NJ,16.0,0,1,0,0
272,158,0,NJ,5.5,0,1,0,0
273,158,1,NJ,5.0,0,1,0,0
274,159,0,NJ,12.0,0,1,0,0
275,159,1,NJ,12.5,0,1,0,0
276,161,0,NJ,20.5,0,0,1,0
277,161,1,NJ,32.0,0,0,1,0
278,162,0,NJ,20.0,0,0,1,0
279,162,1,NJ,18.0,0,0,1,0
280,163,0,NJ,21.0,0,0,1,0
281,163,1,NJ,18.0,0,0,1,0
282,164,0,NJ,19.0,0,0,1,0
283,164,1,NJ,12.5,0,0,1,0
284,165,0,NJ,25.0,0,0,0,1
285,165,1,NJ,18.5,0,0,0,1
286,166,0,NJ,24.0,0,0,0,1
287,166,1,NJ,17.5,0,0,0,1
288,168,0,NJ,15.0,1,0,0,0
289,168,1,NJ,16.0,1,0,0,0
290,169,0,NJ,28.5,1,0,0,0
291,169,1,NJ,23.0,1,0,0,0
