id,wtid,rectime,averageWindSpeed,averagePower,averageGeneratorSpeed,averagePitchAngle
1,6-82,2019/1/1 0:00,4.512101101,109.4722342,1073.909061,0.04000295
2,6-82,2019/1/1 0:10,5.25813025,181.4992936,1073.759003,0.04000295
3,6-82,2019/1/1 0:20,5.097806057,166.5959144,1073.356926,0.04000295
4,6-82,2019/1/1 0:30,5.006758881,183.5445047,1073.752376,0.04000295
5,6-82,2019/1/1 0:40,5.083767245,233.67889,1073.532685,0.04000295
6,6-82,2019/1/1 0:50,5.348498918,250.6274827,1073.646258,0.04000295
7,6-82,2019/1/1 1:00,5.830742475,265.8243026,1080.313333,0.04000295
8,6-82,2019/1/1 1:10,6.165477441,291.7540425,1111.663969,0.04000295
9,6-82,2019/1/1 1:20,6.784831779,379.3158227,1204.362127,0.04000295
10,6-82,2019/1/1 1:30,6.453260076,353.7951257,1178.468993,0.04000295
11,6-82,2019/1/1 1:40,6.623557406,400.7295797,1224.86976,0.04000295
12,6-82,2019/1/1 1:50,6.691796751,442.3439458,1260.482587,0.04000295
13,6-82,2019/1/1 2:00,6.748176224,542.6800543,1343.865231,0.04000295
14,6-82,2019/1/1 2:10,6.754192797,585.3576613,1374.545706,0.04000295
15,6-82,2019/1/1 2:20,7.062914278,609.0021013,1389.562774,0.04000295
16,6-82,2019/1/1 2:30,7.084025137,571.2812677,1360.877452,0.04000295
17,6-82,2019/1/1 2:40,6.440396642,425.8221807,1239.770074,0.04000295
18,6-82,2019/1/1 2:50,6.044020597,308.5336783,1133.484922,0.04000295
19,6-82,2019/1/1 3:00,6.309516909,328.5323001,1152.662898,0.04000295
20,6-82,2019/1/1 3:10,6.306583003,356.2938438,1181.737022,0.04000295
21,6-82,2019/1/1 3:20,6.528653506,382.5302497,1208.71945,0.04000295
22,6-82,2019/1/1 3:30,6.966524855,525.25509,1333.606462,0.04000295
23,6-82,2019/1/1 3:40,7.564433817,637.2704957,1414.258793,0.04000295
24,6-82,2019/1/1 3:50,7.270582305,682.2237845,1442.615813,0.04000295
25,6-82,2019/1/1 4:00,7.26517587,702.1035203,1456.674808,0.04000295
26,6-82,2019/1/1 4:10,8.010552808,838.0659325,1542.024965,0.04000295
27,6-82,2019/1/1 4:20,8.325180315,957.710885,1611.665267,0.04000295
28,6-82,2019/1/1 4:30,7.9580328,922.5291947,1595.301674,0.04000295
29,6-82,2019/1/1 4:40,7.606827563,727.1531557,1478.795577,0.04000295
30,6-82,2019/1/1 4:50,7.333446975,628.7784142,1412.160506,0.04000295
31,6-82,2019/1/1 5:00,7.114807549,580.6003275,1375.79505,0.04000295
32,6-82,2019/1/1 5:10,7.135421426,577.7637033,1372.187932,0.04000295
33,6-82,2019/1/1 5:20,7.350658703,631.6239372,1407.218656,0.04000295
34,6-82,2019/1/1 5:30,6.930390782,575.7184948,1365.859937,0.04000295
35,6-82,2019/1/1 5:40,6.903832522,527.6559963,1327.81319,0.04000295
36,6-82,2019/1/1 5:50,7.18299498,591.3866028,1377.688564,0.04000295
37,6-82,2019/1/1 6:00,7.812412529,857.5399093,1556.928468,0.04000295
38,6-82,2019/1/1 6:10,8.106531336,912.1026338,1591.829855,0.04000295
39,6-82,2019/1/1 6:20,8.088679174,921.8040578,1597.080948,0.04000295
40,6-82,2019/1/1 6:30,8.243986138,1018.240288,1646.592351,0.04000295
41,6-82,2019/1/1 6:40,8.976339575,1229.804206,1736.582877,0.04000295
42,6-82,2019/1/1 6:50,8.859479532,1263.452398,1747.177068,0.04000295
43,6-82,2019/1/1 7:00,8.562493747,1174.423395,1724.314878,0.04000295
44,6-82,2019/1/1 7:10,9.033775677,1395.501995,1764.50219,0.040169629
45,6-82,2019/1/1 7:20,9.482375691,1580.057971,1770.734187,0.04000295
46,6-82,2019/1/1 7:30,9.703809542,1652.389611,1770.831004,0.057420899
47,6-82,2019/1/1 7:40,9.847734309,1724.638972,1770.29545,0.291104782
48,6-82,2019/1/1 7:50,10.02304342,1803.424118,1771.345003,0.481118782
49,6-82,2019/1/1 8:00,10.9134656,2011.235516,1770.374203,3.460504974
50,6-82,2019/1/1 8:10,10.85138497,2013.832047,1770.205916,3.432169536
51,6-82,2019/1/1 8:20,11.1440223,2016.366337,1770.665189,3.103978735
52,6-82,2019/1/1 8:30,10.94143819,1984.923414,1770.330259,2.381592151
53,6-82,2019/1/1 8:40,11.2846787,2015.219236,1771.029964,2.763703641
54,6-82,2019/1/1 8:50,10.71150261,1912.35393,1770.49027,0.939402553
55,6-82,2019/1/1 9:00,10.42843684,1942.699517,1770.2167,1.36522664
56,6-82,2019/1/1 9:10,10.7986029,1938.363706,1771.231421,2.602025054
57,6-82,2019/1/1 9:20,12.31010918,2018.705,1770.743129,5.480987214
58,6-82,2019/1/1 9:30,12.1783885,2018.438227,1770.393273,5.208050404
59,6-82,2019/1/1 9:40,11.52705718,2016.6509,1769.274915,5.445484568
60,6-82,2019/1/1 9:50,12.06377425,2013.98322,1771.315987,6.407305417
61,6-82,2019/1/1 10:00,12.48379172,2019.205566,1770.6832,7.818727434
62,6-82,2019/1/1 10:10,12.40130927,2017.797984,1770.392443,7.680815967
63,6-82,2019/1/1 10:20,11.17034164,2004.130633,1768.892717,4.632674694
64,6-82,2019/1/1 10:30,11.00755712,1946.349076,1767.809868,3.559253837
65,6-82,2019/1/1 10:40,11.96701206,2011.600104,1770.227478,5.723671712
66,6-82,2019/1/1 10:50,11.96592263,2013.058437,1769.022063,5.626081192
67,6-82,2019/1/1 11:00,11.37901787,1986.816947,1768.72029,3.023331997
68,6-82,2019/1/1 11:10,8.753705376,1304.854616,1689.743454,0.120925578
69,6-82,2019/1/1 11:20,7.848314788,950.0308321,1533.744629,0.056222631
70,6-82,2019/1/1 11:30,6.350926332,394.9305803,1232.608059,0.04000295
71,6-82,2019/1/1 11:40,5.671775394,286.9344544,1161.036113,0.04000295
72,6-82,2019/1/1 11:50,7.692752367,758.8450618,1454.422046,0.04000295
73,6-82,2019/1/1 12:00,7.838359167,856.2861129,1515.437922,0.04000295
74,6-82,2019/1/1 12:10,10.19118188,1670.480739,1752.095619,0.987635783
75,6-82,2019/1/1 12:20,10.38428877,1689.692499,1763.673968,0.609544916
76,6-82,2019/1/1 12:30,10.2830063,1712.48329,1762.826695,1.335765087
77,6-82,2019/1/1 12:40,10.13080548,1702.257232,1761.302924,1.26901017
78,6-82,2019/1/1 12:50,8.657086546,1158.13283,1597.439905,0.173346109
79,6-82,2019/1/1 13:00,6.454416451,339.1940878,1190.457619,0.030002212
80,6-82,2019/1/1 13:10,8.153693976,938.9393763,1517.362937,0.030002212
81,6-82,2019/1/1 13:20,8.159829305,907.1496643,1527.582413,0.030002212
82,6-82,2019/1/1 13:30,10.58322225,1621.080075,1751.113332,0.867647264
83,6-82,2019/1/1 13:40,8.888096445,1201.796002,1663.623624,0.168583853
84,6-82,2019/1/1 13:50,8.325046502,931.1675728,1548.91504,0.081089308
85,6-82,2019/1/1 14:00,6.607553957,413.1952171,1236.337041,0.020001475
86,6-82,2019/1/1 14:10,7.726803122,939.8108183,1550.612068,0.045003318
87,6-82,2019/1/1 14:20,9.43887705,1386.467494,1698.799772,0.17126262
88,6-82,2019/1/1 14:30,9.469630673,1442.595245,1736.711385,0.062421267
89,6-82,2019/1/1 14:40,9.946770849,1531.971041,1762.803485,0.072672022
90,6-82,2019/1/1 14:50,8.819278107,1222.11511,1657.006692,0.028489495
91,6-82,2019/1/1 15:00,8.560763933,1115.218938,1661.564672,0.04000295
92,6-82,2019/1/1 15:10,7.344599692,786.1264292,1455.955755,0.04000295
93,6-82,2019/1/1 15:20,8.086959088,1064.373172,1643.272082,0.058420974
94,6-82,2019/1/1 15:30,7.995453071,943.2254358,1596.905197,0.030002212
95,6-82,2019/1/1 15:40,8.22334356,970.7468921,1603.067379,0.030002212
96,6-82,2019/1/1 15:50,10.24354971,1781.877208,1767.841637,0.410366375
97,6-82,2019/1/1 16:00,7.998004757,1003.790407,1601.816371,0.052170511
98,6-82,2019/1/1 16:10,9.010485838,1348.462107,1728.751857,0.050253704
99,6-82,2019/1/1 16:20,9.665171506,1567.877861,1743.666954,0.214349125
100,6-82,2019/1/1 16:30,10.05958839,1788.387379,1768.197176,0.839895216
101,6-82,2019/1/1 16:40,10.20218748,1700.268967,1769.77782,0.397844443
102,6-82,2019/1/1 16:50,10.17862734,1704.542543,1766.945337,0.594960505
103,6-82,2019/1/1 17:00,11.14892498,2012.693842,1770.842608,4.23089508
104,6-82,2019/1/1 17:10,11.63220056,2014.241095,1770.234923,4.686761982
105,6-82,2019/1/1 17:20,11.01082028,1928.262128,1769.00548,2.689614835
106,6-82,2019/1/1 17:30,10.69462541,1859.062803,1769.487974,1.188837604
107,6-82,2019/1/1 17:40,10.69240823,1941.600475,1768.706203,2.174493541
108,6-82,2019/1/1 17:50,10.83349462,1832.083776,1759.192232,2.525936118
109,6-82,2019/1/1 18:00,10.87639492,1863.535598,1768.144941,1.866637522
110,6-82,2019/1/1 18:10,10.12236678,1727.164372,1769.653778,0.610711672
111,6-82,2019/1/1 18:20,9.125558878,1373.982808,1735.638623,0.044669959
112,6-82,2019/1/1 18:30,9.063869952,1394.84398,1753.635221,0.058754328
113,6-82,2019/1/1 18:40,8.960580466,1317.943986,1745.91779,0
114,6-82,2019/1/1 18:50,10.5427876,1754.09003,1769.998653,1.200755152
115,6-82,2019/1/1 19:00,12.01810254,2013.334095,1770.324463,6.412472484
116,6-82,2019/1/1 19:10,13.10646423,2015.690526,1769.37357,8.034341977
117,6-82,2019/1/1 19:20,12.83048521,2020.335403,1771.140484,7.130861556
118,6-82,2019/1/1 19:30,14.4765783,2018.127004,1769.996159,9.985652494
119,6-82,2019/1/1 19:40,14.35709012,2019.816523,1770.089021,9.866893684
120,6-82,2019/1/1 19:50,13.34582742,2016.703792,1769.058019,8.850568104
121,6-82,2019/1/1 20:00,12.2328333,2018.375972,1769.849429,6.886174068
122,6-82,2019/1/1 20:10,12.2296238,2017.232838,1770.553628,6.343660703
123,6-82,2019/1/1 20:20,12.22488194,2018.927302,1770.92799,6.656573826
