V0,V1,label
2.024,2.657,1.0
1.96,2.048,1.0
2.133,2.187,1.0
2.303,2.118,1.0
1.899,1.806,1.0
2.242,2.125,1.0
2.172,1.669,1.0
1.702,2.404,1.0
2.175,2.161,1.0
2.62,1.913,1.0
2.18,1.831,1.0
1.65,1.693,1.0
2.265,1.84,1.0
1.595,2.069,1.0
2.268,2.411,1.0
2.739,2.338,1.0
1.754,2.02,1.0
2.323,1.834,1.0
2.203,2.312,1.0
1.475,2.036,1.0
2.342,2.203,1.0
2.092,1.995,1.0
2.62,1.986,1.0
1.519,1.86,1.0
2.045,2.106,1.0
1.925,2.026,1.0
1.949,2.255,1.0
1.664,1.978,1.0
1.576,1.664,1.0
2.112,1.867,1.0
2.291,2.017,1.0
2.16,2.365,1.0
1.833,1.313,1.0
1.548,1.627,1.0
1.862,1.63,1.0
2.145,2.176,1.0
1.838,2.16,1.0
2.142,2.619,1.0
2.651,1.894,1.0
2.909,1.729,1.0
1.974,2.247,1.0
2.374,2.495,1.0
2.255,1.76,1.0
1.456,2.107,1.0
2.786,1.862,1.0
2.095,1.737,1.0
2.306,1.342,1.0
2.499,1.944,1.0
2.358,2.709,1.0
1.531,1.832,1.0
1.639,2.224,1.0
2.348,2.213,1.0
2.361,2.031,1.0
1.734,1.869,1.0
2.108,2.08,1.0
1.999,2.402,1.0
1.443,1.781,1.0
2.148,2.01,1.0
2.317,1.838,1.0
2.103,1.793,1.0
1.805,2.438,1.0
2.285,1.591,1.0
2.061,2.093,1.0
2.232,2.135,1.0
2.061,1.373,1.0
2.286,1.908,1.0
2.134,2.054,1.0
2.168,2.533,1.0
1.866,2.035,1.0
2.053,2.426,1.0
2.292,1.537,1.0
1.684,1.955,1.0
2.223,1.937,1.0
1.954,1.394,1.0
1.82,1.737,1.0
2.189,1.976,1.0
1.958,1.938,1.0
2.129,2.019,1.0
2.105,1.805,1.0
2.019,2.488,1.0
2.069,2.038,1.0
2.175,1.619,1.0
1.78,2.499,1.0
1.993,1.811,1.0
1.983,1.953,1.0
1.931,2.037,1.0
